s;domain;diagram;attr.polarity;letter.type;study.type;b;t;rt;y;type;aggr.type;betw.factors;task
16;weather;A;mmp;G;XorY=?,Z=0(X?);1;19;3,3;20;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
16;weather;A;mmp;E;XorY=0,Z=?(X?);1;20;15,27;50;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;C;XorY=0,Z=1(Y?);1;1;126,11;100;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;G;XorY=?,Z=0(X?);1;2;25,32;50;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;J;p(C|1E)[Y]/v01;1;3;56,8;100;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;D;XorY=1,Z=?(X?);1;4;62,5;50;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;A;XorY=1,Z=1(Y?);1;5;10,66;30;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;A;XorY=1,Z=1(X?);1;6;39,98;100;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;B;XorY=?,Z=1(Y?);1;7;3,96;100;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;B;XorY=?,Z=1(X?);1;8;2,69;100;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;K;p(C|2E)/v11;1;9;29,05;50;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;C;XorY=0,Z=1(X?);1;10;10,44;100;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;D;XorY=1,Z=?(Y?);1;11;12,36;50;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;F;XorY=1,Z=0(X?);1;12;12,25;50;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;E;XorY=0,Z=?(X?);1;13;20,98;50;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;E;XorY=0,Z=?(Y?);1;14;22,19;50;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;G;XorY=?,Z=0(Y?);1;15;8,62;50;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;F;XorY=1,Z=0(Y?);1;16;18,07;50;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;I;p(C|0E)/v00;1;17;11,92;0;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;J;p(C|1E)[X]/v10;1;18;8,57;0;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;H;XorY=0,Z=0(X?);1;19;11,81;50;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
17;economy;A;mpm;H;XorY=0,Z=0(Y?);1;20;4,4;50;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;I;p(C|0E)/v00;1;1;5,93;100;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;D;XorY=1,Z=?(X?);1;2;18,01;55;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;F;XorY=1,Z=0(X?);1;3;10,66;75;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;A;XorY=1,Z=1(X?);1;4;10,27;70;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;D;XorY=1,Z=?(Y?);1;5;4,34;55;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;E;XorY=0,Z=?(Y?);1;6;4,34;55;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;E;XorY=0,Z=?(X?);1;7;6,26;30;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;C;XorY=0,Z=1(Y?);1;8;5,82;55;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;B;XorY=?,Z=1(X?);1;9;1,1;45;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;H;XorY=0,Z=0(X?);1;10;1,16;55;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;C;XorY=0,Z=1(X?);1;11;8,18;85;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;K;p(C|2E)/v11;1;12;4,56;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;G;XorY=?,Z=0(Y?);1;13;5,33;55;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;B;XorY=?,Z=1(Y?);1;14;4,55;100;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;H;XorY=0,Z=0(Y?);1;15;6,82;25;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;A;XorY=1,Z=1(Y?);1;16;3,84;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;J;p(C|1E)[Y]/v01;1;17;8,29;55;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;F;XorY=1,Z=0(Y?);1;18;4,67;60;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;G;XorY=?,Z=0(X?);1;19;6,37;35;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
18;weather;B;pmm;J;p(C|1E)[X]/v10;1;20;4,07;40;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;B;XorY=?,Z=1(Y?);1;1;14,83;100;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;A;XorY=1,Z=1(X?);1;2;8,68;100;EA|C=1,EB=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;F;XorY=1,Z=0(Y?);1;3;16,86;5;EB|C=0,EA=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;D;XorY=1,Z=?(Y?);1;4;19,67;50;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;H;XorY=0,Z=0(Y?);1;5;7,08;0;EB|C=0,EA=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;K;p(C|2E)/v11;1;6;10,71;95;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;J;p(C|1E)[Y]/v01;1;7;10,71;10;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;C;XorY=0,Z=1(Y?);1;8;10,77;90;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;H;XorY=0,Z=0(X?);1;9;11,26;5;EA|C=0,EB=0;Ei|C=0,Ej=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;F;XorY=1,Z=0(X?);1;10;17,35;15;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;D;XorY=1,Z=?(X?);1;11;6,87;50;EA|EB=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;G;XorY=?,Z=0(Y?);1;12;10,05;5;EB|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;C;XorY=0,Z=1(X?);1;13;8,4;80;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;B;XorY=?,Z=1(X?);1;14;7,15;95;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;I;p(C|0E)/v00;1;15;12,68;5;C|EA=0,EB=0;C|EA=0,EB=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;J;p(C|1E)[X]/v10;1;16;8,24;20;C|EA=0,EB=1;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;E;XorY=0,Z=?(X?);1;17;10,6;5;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;E;XorY=0,Z=?(Y?);1;18;7,8;5;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;G;XorY=?,Z=0(X?);1;19;4,89;10;EA|C=0;Ei|C=0;domain, attr.polarity, diagram, letter.type;c
19;weather;B;ppp;A;XorY=1,Z=1(Y?);1;20;9,94;95;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;E;XorY=0,Z=?(X?);1;1;10,05;40;EA|EB=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;D;XorY=1,Z=?(Y?);1;2;7,31;100;EB|EA=1;Ei|Ej=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;C;XorY=0,Z=1(X?);1;3;13,73;75;EA|C=1,EB=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;C;XorY=0,Z=1(Y?);1;4;7,85;100;EB|C=1,EA=0;Ei|C=1,Ej=0;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;B;XorY=?,Z=1(X?);1;5;5,5;95;EA|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;A;XorY=1,Z=1(Y?);1;6;6,09;100;EB|C=1,EA=1;Ei|C=1,Ej=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;F;XorY=1,Z=0(X?);1;7;5,11;70;EA|C=0,EB=1;Ei|C=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;K;p(C|2E)/v11;1;8;3,79;100;C|EA=1,EB=1;C|EA=1,EB=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;E;XorY=0,Z=?(Y?);1;9;4,18;70;EB|EA=0;Ei|Ej=0;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;B;XorY=?,Z=1(Y?);1;10;4,61;95;EB|C=1;Ei|C=1;domain, attr.polarity, diagram, letter.type;c
20;economy;B;pmm;J;p(C|1E)[Y]/v01;1;11;5,27;85;C|EA=1,EB=0;C|Ei=0,Ej=1;domain, attr.polarity, diagram, letter.type;c
